timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1737477892504,283,-66,200,OK,Thread Group 1-6,text,true,,3499,1600,7,7,https://betamg.ghtcorptest.com/(S(nrykvynzllozegxnjw13ppqw))/Header2.aspx,142,0,0
1737477892504,142,-66-0,302,Found,Thread Group 1-6,text,true,,386,800,7,7,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/Header2.aspx,142,0,0
1737477892646,141,-66-1,200,OK,Thread Group 1-6,text,true,,3113,800,7,7,https://betamg.ghtcorptest.com/(S(nrykvynzllozegxnjw13ppqw))/Header2.aspx,141,0,0
1737477892659,151,-142,200,OK,Thread Group 1-1,text,true,,2519,715,7,7,https://betamg.ghtcorptest.com/Images/Menu/Reports.svg,151,0,0
1737477892768,131,-118,200,OK,Thread Group 1-5,text,true,,2190,710,7,7,https://betamg.ghtcorptest.com/Images/Menu/HR.svg,131,0,0
1737477892773,131,-131,200,OK,Thread Group 1-3,text,true,,2140,718,7,7,https://betamg.ghtcorptest.com/Images/Menu/Production.svg,131,0,0
1737477892774,130,-126,200,OK,Thread Group 1-4,text,true,,2767,717,7,7,https://betamg.ghtcorptest.com/Images/Menu/Hardgoods.svg,130,0,0
1737477892811,135,-143,200,OK,Thread Group 1-1,text,true,,1799,717,7,7,https://betamg.ghtcorptest.com/Images/Menu/Dashboard.svg,135,0,0
1737477886546,6207,,200,"Number of samples in transaction : 30, number of failing samples : 0",Thread Group 1-1,,true,,109146,28403,7,7,null,5242,192,849
1737477892787,160,-142,200,OK,Thread Group 1-2,text,true,,2519,715,7,7,https://betamg.ghtcorptest.com/Images/Menu/Reports.svg,160,0,0
1737477892900,144,-116,200,OK,Thread Group 1-5,text,true,,1750,716,7,7,https://betamg.ghtcorptest.com/Images/Menu/Settings.svg,144,0,0
1737477892905,144,-133,200,OK,Thread Group 1-3,text,true,,1369,711,7,7,https://betamg.ghtcorptest.com/Images/Menu/SEM.svg,144,0,0
1737477892905,146,-127,200,OK,Thread Group 1-4,text,true,,2355,713,7,7,https://betamg.ghtcorptest.com/Images/Menu/Sales.svg,146,0,0
1737477892948,119,-143,200,OK,Thread Group 1-2,text,true,,1799,717,7,7,https://betamg.ghtcorptest.com/Images/Menu/Dashboard.svg,119,0,0
1737477887532,5508,,200,"Number of samples in transaction : 30, number of failing samples : 0",Thread Group 1-2,,true,,91550,28404,7,7,null,4625,28,293
1737477892521,635,-38,200,OK,Thread Group 1-7,text,true,,5378,3089,7,7,https://betamg.ghtcorptest.com/(S(jxv21yeg0iyvl2z5nwuyhdsg))/Default_new.aspx,485,0,322
1737477892521,485,-38-0,302,Found,Thread Group 1-7,text,true,,800,2164,7,7,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/Default_new.aspx,485,0,322
1737477893006,150,-38-1,200,OK,Thread Group 1-7,text,true,,4578,925,7,7,https://betamg.ghtcorptest.com/(S(jxv21yeg0iyvl2z5nwuyhdsg))/Default_new.aspx,150,0,0
1737477893050,124,-138,200,OK,Thread Group 1-3,text,true,,2003,717,7,7,https://betamg.ghtcorptest.com/Images/Menu/Inventory.svg,124,0,0
1737477893052,122,-128,200,OK,Thread Group 1-4,text,true,,1859,728,7,7,https://betamg.ghtcorptest.com/Images/Menu/AuthorizationCentral.svg,122,0,0
1737477893045,129,-117,200,OK,Thread Group 1-5,text,true,,1670,715,7,7,https://betamg.ghtcorptest.com/Images/Menu/General.svg,129,0,0
1737477892788,422,-68,200,OK,Thread Group 1-6,text,true,,3469,2477,7,7,https://betamg.ghtcorptest.com/(S(alc4zfkxi2nb2uk4fzhgklsa))/UnhandledEventLogException.aspx?aspxerrorpath=/General/MenuHtml5.aspx,159,0,0
1737477892788,159,-68-0,302,Found,Thread Group 1-6,text,true,,406,810,7,7,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/General/MenuHtml5.aspx,159,0,0
1737477892947,126,-68-1,302,Found,Thread Group 1-6,text,true,,553,810,7,7,https://betamg.ghtcorptest.com/(S(alc4zfkxi2nb2uk4fzhgklsa))/General/MenuHtml5.aspx,126,0,0
1737477893073,137,-68-2,200,OK,Thread Group 1-6,text,true,,2510,857,7,7,https://betamg.ghtcorptest.com/(S(alc4zfkxi2nb2uk4fzhgklsa))/UnhandledEventLogException.aspx?aspxerrorpath=/General/MenuHtml5.aspx,137,0,0
1737477892947,263,-7,200,OK,Thread Group 1-1,text,true,,4858,1436,7,7,https://betamg.ghtcorptest.com/(S(hu513oe0o14jgotvze5kaeea))/Default_new.aspx,126,0,0
1737477892947,126,-7-0,302,Found,Thread Group 1-1,text,true,,394,695,7,7,https://betamg.ghtcorptest.com/,126,0,0
1737477893073,137,-7-1,200,OK,Thread Group 1-1,text,true,,4464,741,7,7,https://betamg.ghtcorptest.com/(S(hu513oe0o14jgotvze5kaeea))/Default_new.aspx,136,0,0
1737477893175,161,-141,200,OK,Thread Group 1-3,text,true,,1654,716,7,7,https://betamg.ghtcorptest.com/Images/Menu/Products.svg,161,0,0
1737477893176,160,-129,200,OK,Thread Group 1-4,text,true,,1979,711,7,7,https://betamg.ghtcorptest.com/Images/Menu/INV.svg,160,0,0
1737477893176,161,-121,200,OK,Thread Group 1-5,text,true,,1645,717,7,7,https://betamg.ghtcorptest.com/Images/Menu/Customers.svg,161,0,0
1737477893068,310,-7,200,OK,Thread Group 1-2,text,true,,4873,1436,7,7,https://betamg.ghtcorptest.com/(S(ytwxhe4inecltxsm1dgs5rp4))/Default_new.aspx,159,0,0
1737477893068,159,-7-0,302,Found,Thread Group 1-2,text,true,,394,695,7,7,https://betamg.ghtcorptest.com/,159,0,0
1737477893228,150,-7-1,200,OK,Thread Group 1-2,text,true,,4479,741,7,7,https://betamg.ghtcorptest.com/(S(ytwxhe4inecltxsm1dgs5rp4))/Default_new.aspx,150,0,0
1737477893157,303,-39,200,OK,Thread Group 1-7,text,true,,5758,1658,7,7,https://betamg.ghtcorptest.com/(S(ihxz4cju1nqrxiuuhbuatetx))/Main.aspx,141,0,0
1737477893157,141,-39-0,302,Found,Thread Group 1-7,text,true,,380,829,7,7,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/Main.aspx,141,0,0
1737477893299,161,-39-1,200,OK,Thread Group 1-7,text,true,,5378,829,7,7,https://betamg.ghtcorptest.com/(S(ihxz4cju1nqrxiuuhbuatetx))/Main.aspx,161,0,0
1737477893337,123,-130,200,OK,Thread Group 1-4,text,true,,2682,719,7,7,https://betamg.ghtcorptest.com/Images/Menu/Propagation.svg,123,0,0
1737477893337,123,-140,200,OK,Thread Group 1-3,text,true,,2310,718,7,7,https://betamg.ghtcorptest.com/Images/Menu/Accounting.svg,123,0,0
1737477893337,124,-122,200,OK,Thread Group 1-5,text,true,,1850,716,7,7,https://betamg.ghtcorptest.com/Images/Menu/Provider.svg,124,0,0
1737477893211,271,-67,200,OK,Thread Group 1-6,text,true,,2035,1634,7,7,https://betamg.ghtcorptest.com/(S(appqxtczniszc30bvsvvq1my))/DefaultPages/DefaultHome.aspx,131,0,0
1737477893211,131,-67-0,302,Found,Thread Group 1-6,text,true,,420,817,7,7,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/DefaultPages/DefaultHome.aspx,131,0,0
1737477893342,140,-67-1,200,OK,Thread Group 1-6,text,true,,1615,817,7,7,https://betamg.ghtcorptest.com/(S(appqxtczniszc30bvsvvq1my))/DefaultPages/DefaultHome.aspx,140,0,0
1737477893211,277,-8,200,OK,Thread Group 1-1,text,true,,4875,1482,7,7,https://betamg.ghtcorptest.com/(S(iebe4j22iyeide00hc2gkk0r))/Default_new.aspx,130,0,0
1737477893211,130,-8-0,302,Found,Thread Group 1-1,text,true,,394,741,7,7,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/Default_new.aspx,130,0,0
1737477893342,146,-8-1,200,OK,Thread Group 1-1,text,true,,4481,741,7,7,https://betamg.ghtcorptest.com/(S(iebe4j22iyeide00hc2gkk0r))/Default_new.aspx,145,0,0
1737477893461,153,-132,200,OK,Thread Group 1-4,text,true,,1904,719,8,8,https://betamg.ghtcorptest.com/Images/Menu/PostHarvest.svg,153,0,0
1737477893461,159,-139,200,OK,Thread Group 1-3,text,true,,2947,716,8,8,https://betamg.ghtcorptest.com/Images/Menu/Shipping.svg,159,0,0
1737477893461,160,-124,200,OK,Thread Group 1-5,text,true,,1795,715,8,8,https://betamg.ghtcorptest.com/Images/Menu/Flowers.svg,159,0,0
1737477893483,143,-114,200,OK,Thread Group 1-6,text,true,,1748,718,8,8,https://betamg.ghtcorptest.com/Images/Menu/HelpCenter.svg,143,0,0
1737477893489,149,-23,200,OK,Thread Group 1-1,text,true,,6361,723,8,8,https://betamg.ghtcorptest.com/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZKEbM4CcK6YN3Y2s8CE2ULgcbSVqC31bHjEP2L8DSSlh_QTlUQ2&t=638562564440000000,138,0,0
